Country,High,Low,Medium,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude
Australia,0.34375,0.3125,0.34375,3,AU,48.20%,"7,741,220","58,000",12.6,61.0,Canberra,"375,908",119.8,1.6,AUD,1.74,16.30%,,,100.30%,113.10%,3.1,Sydney,82.7,6.0,,None,19.6,3.68,25766605.0,65.50%,23.0,47.40%,5.27,"21,844,756",-25.274398,133.775136
Canada,0.30434782608695654,0.3188405797101449,0.37681159420289856,4,CA,6.90%,"9,984,670","72,000",10.1,1.0,Ottawa,"544,894",116.76,1.9,CAD,1.5,38.20%,,,100.90%,68.90%,4.3,Toronto,81.9,10.0,,French,14.6,2.61,36991981.0,65.10%,12.8,24.50%,5.56,"30,628,482",56.130366,-106.346771
Germany,0.41134751773049644,0.3262411347517731,0.2624113475177305,240,DE,47.70%,"357,022","180,000",9.5,49.0,Berlin,"727,973",112.85,1.4,EUR,1.56,32.70%,,,104.00%,70.20%,3.1,Berlin,80.9,7.0,,German,12.5,4.25,83132799.0,60.80%,11.5,48.80%,3.04,"64,324,835",51.165691,10.451526
India,0.3161290322580645,0.36774193548387096,0.3161290322580645,464,IN,60.40%,"3,287,263","3,031,000",17.86,91.0,New Delhi,"2,407,672",180.44,7.7,INR,2.22,23.80%,,,113.00%,28.10%,29.9,Kurebhar,69.4,145.0,,Hindi,65.1,0.86,1366417754.0,49.30%,11.2,49.70%,5.36,"471,031,528",20.593684,78.96288
